epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.1018856056034565,0.12041364014148712,1.1777860641479494,0.49025678634643555,0.8,0.7,-74.8298110961914,-80.86729431152344,-93.31436157226562,-97.78569030761719
0.2195,10,0.04444560259580612,0.03939724862575531,1.9784698486328125,1.2290458679199219,0.9,0.9,-34.949459075927734,-69.97702026367188,-66.94210815429688,-101.00408935546875
0.3192,15,0.02447129674255848,0.020500398427248,1.9734540939331051,1.7455862045288093,0.9,0.9,-109.06300354003906,-52.24073028564453,-146.6157989501953,-80.33837890625
0.419,20,0.01487970061134547,0.01337469955906272,2.8338294982910153,2.111132812500001,1.0,1.0,-120.8143539428711,-115.0264892578125,-152.346435546875,-144.28094482421875
0.5187,25,0.010408622433897109,0.009755992703139782,3.1243139266967788,2.4651161193847653,1.0,1.0,-52.64806365966797,-95.84967041015625,-91.8262939453125,-126.86324310302734
0.6185,30,0.007648004149086773,0.009242615010589362,3.796649551391601,2.597200012207031,1.0,1.0,-43.2121696472168,-43.467891693115234,-83.07569122314453,-76.75617980957031
0.7182,35,0.005885173380374908,0.008345595700666309,3.8830838203430176,2.6981611251831055,1.0,1.0,-68.0037612915039,-98.91487884521484,-105.60606384277344,-130.40570068359375
0.818,40,0.003909484832547605,0.0083157398737967,4.957857322692871,2.75880365371704,1.0,1.0,-44.53400802612305,-65.09750366210938,-73.57048797607422,-91.52764892578125
0.9177,45,0.01680123759433627,0.007841787626966834,2.491829109191894,2.8178733825683597,0.9,1.0,-55.9759521484375,-76.34779357910156,-93.90449523925781,-96.52155303955078
1.0,50,0.006411330075934529,0.008165968907997012,3.750280952453613,2.824744701385498,1.0,1.0,-27.463153839111328,-52.141563415527344,-67.05714416503906,-77.19383239746094
