epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-183.06600952148438,-142.31813049316406,-183.06600952148438,-142.31813049316406
0.1197,5,0.21013650000095369,0.172774800658226,1.4249290913343429,1.6056608617305757,1.0,1.0,-151.03836059570312,-92.77194213867188,-154.40591430664062,-93.31436157226562
0.2195,10,0.02399414461106062,0.013107595406472683,4.44526424407959,4.406383589655161,1.0,1.0,-103.69448852539062,-67.36075592041016,-117.21282958984375,-66.94210815429688
0.3192,15,0.008447733079083263,0.0015233366051688791,6.414168643951417,6.829446321725845,1.0,1.0,-164.876220703125,-150.23123168945312,-184.96438598632812,-146.6157989501953
0.419,20,0.0005433729151263833,0.00024380419636145235,8.534656047821045,8.91974093914032,1.0,1.0,-187.41600036621094,-156.46153259277344,-204.85614013671875,-152.346435546875
0.5187,25,6.259255460463464e-05,9.499042498646304e-05,10.41760540008545,10.084678053855896,1.0,1.0,-149.19601440429688,-97.78375244140625,-175.96795654296875,-91.8262939453125
0.6185,30,0.0008804359891655622,6.264706571528223e-05,10.32863383293152,10.579838371276857,1.0,1.0,-109.89922332763672,-91.47781372070312,-134.89761352539062,-82.97470092773438
0.7182,35,6.617443468712736e-05,5.213016011111904e-05,10.802837133407593,10.833084774017335,1.0,1.0,-120.6337890625,-114.6513671875,-145.29620361328125,-105.60606384277344
0.818,40,0.0004103499679331435,4.9436835251981395e-05,10.924187803268433,10.910371208190917,1.0,1.0,-128.72462463378906,-79.50625610351562,-149.08279418945312,-73.57048797607422
0.9177,45,5.373355015763082e-05,5.400275040301494e-05,10.903164005279542,10.896444511413574,1.0,1.0,-106.78846740722656,-105.98678588867188,-127.83999633789062,-93.90449523925781
1.0,50,0.0006460496490035439,4.9862299056258054e-05,10.737765550613403,10.872159814834596,1.0,1.0,-102.82544708251953,-76.50665283203125,-132.3841094970703,-67.05714416503906
