epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.3101528033614159,0.42895596027374266,1.4753209114074712,0.7604578971862797,0.9,0.9,-81.08621215820312,-87.50394439697266,-93.31436157226562,-97.78569030761719
0.2195,10,0.17175148651003838,0.1950129270553589,2.7555669307708746,1.8389455795288088,1.0,1.0,-47.55636215209961,-84.7314682006836,-66.94210815429688,-101.00408935546875
0.3192,15,0.1702267738059163,0.11366494856774807,2.444387912750244,2.5501603603363034,1.0,1.0,-128.75088500976562,-72.23035430908203,-146.6157989501953,-80.33837890625
0.419,20,0.10407574959099293,0.08919664267450571,3.477236080169678,2.8519288539886474,1.0,1.0,-137.71812438964844,-133.65792846679688,-152.346435546875,-144.28094482421875
0.5187,25,0.10055992780253291,0.07474326025694608,3.9424463033676145,3.1351715207099917,1.0,1.0,-68.73353576660156,-112.81185913085938,-91.8262939453125,-126.86324310302734
0.6185,30,0.08011101584415883,0.0693943009711802,4.713016611337662,3.270713007450104,1.0,1.0,-61.791168212890625,-65.3231201171875,-83.07569122314453,-76.75617980957031
0.7182,35,0.02160027762874961,0.06149352486245334,5.0947302877902985,3.445185762643814,1.0,1.0,-89.08124542236328,-120.86270141601562,-105.60606384277344,-130.40570068359375
0.818,40,0.027323703235015272,0.06189094064757228,5.674862599372864,3.4419460713863375,1.0,1.0,-63.01695251464844,-85.23495483398438,-73.57048797607422,-91.52764892578125
0.9177,45,0.06307158768177032,0.06531121116131544,3.701860237121582,3.4257988810539244,1.0,1.0,-79.86502838134766,-104.34899139404297,-93.90449523925781,-96.52155303955078
1.0,50,0.028569835983216763,0.05988998492248356,4.587571060657501,3.4745795190334317,1.0,1.0,-47.47705078125,-77.12557983398438,-67.05714416503906,-77.19383239746094
