epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-140.4958953857422,-59.13417053222656,-140.4958953857422,-59.13417053222656
0.1197,5,0.000265618600678863,0.00020533788301690947,9.359683811664581,9.730382132530211,1.0,1.0,-122.70783996582031,-57.90854263305664,-147.26271057128906,-60.12870407104492
0.2195,10,3.6089221282509244e-07,2.016184618724992e-06,15.157232999801636,15.309166121482848,1.0,1.0,-76.83810424804688,-43.490074157714844,-140.98550415039062,-49.46619415283203
0.3192,15,7.56907748922231e-08,6.678198454679318e-07,16.594934368133544,16.437390446662903,1.0,1.0,-97.3035888671875,-61.928749084472656,-144.45721435546875,-65.20555877685547
0.419,20,4.966770852377067e-08,5.087156486283106e-07,16.682281219959258,16.577180552482606,1.0,1.0,-82.24505615234375,-63.07499313354492,-145.46250915527344,-66.48806762695312
0.5187,25,3.0468778078329704e-08,5.206145367253612e-07,17.303772497177125,16.69345304965973,1.0,1.0,-68.6705551147461,-48.606117248535156,-131.0018310546875,-54.201194763183594
0.6185,30,2.0670183955573407e-07,4.857046409512122e-07,16.10855283737183,16.726751685142517,1.0,1.0,-110.9333267211914,-53.618446350097656,-165.2779541015625,-55.419151306152344
0.7182,35,6.196460304863649e-08,4.6029010292159e-07,17.01006531715393,16.684577465057373,1.0,1.0,-104.82477569580078,-106.62881469726562,-151.067626953125,-111.26089477539062
0.818,40,7.895796390045007e-08,4.809875537858943e-07,16.953872561454773,16.712977814674378,1.0,1.0,-114.62980651855469,-67.94615936279297,-175.90614318847656,-71.73411560058594
0.9177,45,2.5940455827822007e-07,3.897451025025589e-07,15.607408905029297,16.7428338766098,1.0,1.0,-86.8544921875,-59.56645965576172,-148.4764862060547,-64.06010437011719
1.0,50,1.7359011152962012e-07,4.876052996927172e-07,16.2992267370224,16.689647340774535,1.0,1.0,-106.1727294921875,-70.9654541015625,-168.0518798828125,-75.10137939453125
