epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-62.47056198120117,-114.88115692138672,-62.47056198120117,-114.88115692138672
0.1197,5,0.5390904664993286,0.5038197040557861,0.3526303667575121,0.4267603900283575,0.9,1.0,-80.08483123779297,-94.00786590576172,-80.0946044921875,-93.34284973144531
0.2195,10,0.3247803807258606,0.31408930420875547,0.9754836343228817,1.0043117821216583,1.0,1.0,-77.42010498046875,-108.13481140136719,-77.26424407958984,-105.97554016113281
0.3192,15,0.23462478816509247,0.20617737472057343,1.3644772544503212,1.4952728390693664,1.0,1.0,-60.22093200683594,-122.52388000488281,-60.44549560546875,-119.00753021240234
0.419,20,0.14310493022203447,0.14252671003341674,1.9436243698000908,1.9081925228238106,1.0,1.0,-39.57630920410156,-76.80799865722656,-41.147071838378906,-71.06270599365234
0.5187,25,0.10383193343877792,0.10399518609046936,2.2599474489688873,2.26816731095314,1.0,1.0,-87.61345672607422,-124.76143646240234,-88.26676940917969,-116.4574966430664
0.6185,30,0.07493990287184715,0.0806215226650238,2.5832373678684233,2.5414097890257836,1.0,1.0,-117.61878204345703,-157.4967041015625,-117.94425201416016,-150.88807678222656
0.7182,35,0.07949120551347733,0.0707317627966404,2.5774670571088794,2.698201537132263,1.0,1.0,-131.8705596923828,-133.08273315429688,-131.91268920898438,-124.17556762695312
0.818,40,0.06726013273000717,0.06834832355380058,2.750883136689663,2.7278805002570152,1.0,1.0,-91.25477600097656,-133.3941650390625,-91.97012329101562,-125.18020629882812
0.9177,45,0.09032276347279548,0.0681653417646885,2.532871936634183,2.733873869478703,1.0,1.0,-58.65540313720703,-94.98281860351562,-58.97465515136719,-88.27540588378906
1.0,50,0.08642828613519668,0.06588321030139924,2.529789862036705,2.7834265410900114,1.0,1.0,-90.15672302246094,-105.68028259277344,-90.68488311767578,-96.60920715332031
