epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-183.06600952148438,-142.31813049316406,-183.06600952148438,-142.31813049316406
0.1197,5,0.4405931532382965,0.43108094334602354,0.5986617535352707,0.6339164227247238,1.0,1.0,-154.36288452148438,-93.78633117675781,-154.40591430664062,-93.31436157226562
0.2195,10,0.18062450885772705,0.1836713433265686,1.6846337437629701,1.6148836612701416,1.0,1.0,-114.27215576171875,-69.75007629394531,-117.21282958984375,-66.94210815429688
0.3192,15,0.12179841995239257,0.09827962815761566,2.1806479811668398,2.3160652279853817,1.0,1.0,-180.56614685058594,-149.8357696533203,-184.96438598632812,-146.6157989501953
0.419,20,0.05894613415002823,0.05355255827307701,2.8495226383209227,3.010140061378479,1.0,1.0,-201.03793334960938,-154.86907958984375,-204.85614013671875,-152.346435546875
0.5187,25,0.02926669120788574,0.02881680391728878,3.56868736743927,3.6084389925003055,1.0,1.0,-168.47679138183594,-96.10094451904297,-175.96795654296875,-91.8262939453125
0.6185,30,0.03996925875544548,0.02147746495902538,3.624616122245788,3.9183828830718994,1.0,1.0,-128.5857696533203,-88.6885986328125,-134.89761352539062,-82.97470092773438
0.7182,35,0.021282234229147434,0.019026853889226914,3.949188303947449,4.032004761695862,1.0,1.0,-138.19256591796875,-110.22058868408203,-145.29620361328125,-105.60606384277344
0.818,40,0.02598729431629181,0.01893010623753071,4.066411709785461,4.06284613609314,1.0,1.0,-143.17919921875,-77.30192565917969,-149.08279418945312,-73.57048797607422
0.9177,45,0.018700779974460603,0.017383237928152086,4.098040676116943,4.143774080276489,1.0,1.0,-123.0103759765625,-101.618896484375,-127.83999633789062,-93.90449523925781
1.0,50,0.026796669140458106,0.017571334913372993,4.063495397567749,4.128017067909241,1.0,1.0,-123.71441650390625,-73.29742431640625,-132.3841094970703,-67.05714416503906
