epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-140.4958953857422,-59.13417053222656,-140.4958953857422,-59.13417053222656
0.1197,5,0.00025167888998112176,0.00021922201158304234,9.698377335071562,10.056150369346142,1.0,1.0,-125.70094299316406,-60.937042236328125,-147.26271057128906,-60.12870407104492
0.2195,10,2.3739717818216378e-07,2.1910476327491323e-06,16.26797080039978,16.109199088811874,1.0,1.0,-82.56138610839844,-53.04576110839844,-140.98550415039062,-49.46619415283203
0.3192,15,4.9060976881065696e-08,7.61404284688183e-07,17.84857476055622,17.213825523853302,1.0,1.0,-101.75174713134766,-68.28532409667969,-144.45721435546875,-65.20555877685547
0.419,20,1.4977336171284604e-08,4.5954008784931946e-07,18.208486664295194,17.52898778319359,1.0,1.0,-86.54925537109375,-72.10964965820312,-145.46250915527344,-66.48806762695312
0.5187,25,1.625067271859848e-08,5.475665878051928e-07,18.564997309446333,17.56254853606224,1.0,1.0,-74.83390045166016,-60.31658935546875,-131.0018310546875,-54.201194763183594
0.6185,30,1.2022528816935107e-07,3.323447123726453e-07,17.576448196172716,17.68228554725647,1.0,1.0,-115.50433349609375,-60.78096389770508,-165.2779541015625,-55.419151306152344
0.7182,35,2.997340038390917e-08,4.260348571705208e-07,18.08033159971237,17.61431930065155,1.0,1.0,-109.0457763671875,-112.80126190185547,-151.067626953125,-111.26089477539062
0.818,40,3.447552909818796e-08,4.689681807334978e-07,18.100228661298754,17.62226427793503,1.0,1.0,-119.65235137939453,-78.05416107177734,-175.90614318847656,-71.73411560058594
0.9177,45,1.5217726314631364e-07,3.9722396580899046e-07,16.702021217346193,17.62439956665039,1.0,1.0,-92.15525817871094,-71.3071517944336,-148.4764862060547,-64.06010437011719
1.0,50,1.1171972182921764e-07,4.7124024913358655e-07,17.392982947826386,17.61281079649925,1.0,1.0,-112.52342224121094,-81.83393859863281,-168.0518798828125,-75.10137939453125
