epoch_frac,step,train_loss,val_loss,train_reward_margin,val_reward_margin,train_reward_accuracy,val_reward_accuracy,policy_chosen_logprobs,policy_rejected_logprobs,reference_chosen_logprobs,reference_rejected_logprobs
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-157.13272094726562,-144.917724609375,-157.13272094726562,-144.917724609375
0.1197,5,0.1196991328150034,0.1015596866607666,1.3075128078460692,1.0586927413940437,0.9,0.9,-91.67425537109375,-98.46529388427734,-107.83405303955078,-112.14309692382812
0.2195,10,0.031384747568517925,0.016006503067910672,3.019996833801269,2.2372806549072255,1.0,0.9,-47.10542297363281,-83.62151336669922,-83.67169952392578,-116.12724304199219
0.3192,15,0.012943803542293608,0.005951649323105812,2.682486820220948,2.821843147277832,1.0,1.0,-111.9132080078125,-59.63294219970703,-154.3926239013672,-93.50543212890625
0.419,20,0.006551341072190553,0.0036678443429991603,3.4325361251831055,3.206504440307617,1.0,1.0,-123.794189453125,-118.3005142211914,-163.60675048828125,-155.66864013671875
0.5187,25,0.002537965320516378,0.0031411182368174194,3.828641700744628,3.4094121932983406,1.0,1.0,-54.13288497924805,-97.38238525390625,-104.54972076416016,-139.26593017578125
0.6185,30,0.004819735832279548,0.002696496737189591,4.336180877685548,3.5824964523315437,1.0,1.0,-44.49272918701172,-46.35350036621094,-95.56452941894531,-89.06472778320312
0.7182,35,0.001959036523476243,0.002725444606039673,4.2507329940795895,3.6386194229125977,1.0,1.0,-68.23980712890625,-103.2267837524414,-112.86012268066406,-140.4937286376953
0.818,40,0.0012257718277396633,0.00254099341109395,5.426191902160644,3.722535324096679,1.0,1.0,-42.82975769042969,-64.42524719238281,-82.66554260253906,-99.47594451904297
0.9177,45,0.004143432201817632,0.0025742460391484203,3.359529685974122,3.716502380371093,1.0,1.0,-59.9559440612793,-87.890625,-106.48279571533203,-111.56385803222656
1.0,50,0.001931522344239056,0.0025209358776919545,4.456745052337647,3.723651504516601,1.0,1.0,-29.14000701904297,-57.41754913330078,-82.51602935791016,-92.86863708496094
0.02,0,0.6931471824645996,0.6931471824645996,0.0,0.0,0.0,0.0,-142.31813049316406,-132.48187255859375,-142.31813049316406,-132.48187255859375
0.1197,5,0.10489120781421661,0.1232302725315094,1.3188458442687994,0.6184580802917479,0.9,0.7,-76.42755126953125,-83.1772232055664,-93.31436157226562,-97.78569030761719
0.2195,10,0.03873882740736008,0.03755621612071991,2.342222213745118,1.4084556579589833,0.9,0.9,-36.00297546386719,-71.89410400390625,-66.94210815429688,-101.00408935546875
0.3192,15,0.020210199896246193,0.01825550328940153,2.402833271026612,1.9841440200805671,1.0,0.9,-110.62467193603516,-53.76829528808594,-146.6157989501953,-80.33837890625
0.419,20,0.013482662988826633,0.012606153171509505,3.04713191986084,2.3033809661865234,1.0,1.0,-121.71220397949219,-116.02069091796875,-152.346435546875,-144.28094482421875
0.5187,25,0.00960074495524168,0.009956624079495668,3.307379722595215,2.606876945495605,1.0,1.0,-53.10045623779297,-97.03605651855469,-91.8262939453125,-126.86324310302734
0.6185,30,0.007086646696552634,0.009039493231102824,3.9877863883972164,2.757076454162597,1.0,1.0,-43.755531311035156,-44.27344512939453,-83.07569122314453,-76.75617980957031
0.7182,35,0.005751465680077672,0.007945821760222316,4.12468729019165,2.8973339080810536,1.0,1.0,-68.88028717041016,-100.34727478027344,-105.60606384277344,-130.40570068359375
0.818,40,0.003902256299625151,0.007930278684943915,5.104112243652343,2.9141895294189446,1.0,1.0,-44.688194274902344,-65.52960205078125,-73.57048797607422,-91.52764892578125
0.9177,45,0.011426215153187513,0.007936298847198486,2.9901393890380845,2.9635694503784187,0.9,1.0,-56.950321197509766,-78.43793487548828,-93.90449523925781,-96.52155303955078
1.0,50,0.005776021489873528,0.00791198187507689,3.9335915565490733,2.9377170562744155,1.0,1.0,-28.311614990234375,-53.936012268066406,-67.05714416503906,-77.19383239746094
